rank,primary_isbn13,publisher,description,price,title,author,age_group,list,date,month_on_list
1,9780553901139,Random House,A woman who survived a childhood abduction may have tricked the Massachusetts police sniper Bobby Dodge into killing her husband.,0.0,ALONE,Lisa Gardner,,combined-print-and-e-book-fiction,2011-03-01,1.0
2,9780316129183,"Little, Brown",The New York detective Michael Bennett enlists the help of a former colleague to solve a rash of horrifying crimes that are throwing the city into chaos.,0.0,TICK TOCK,James Patterson and Michael Ledwidge,,combined-print-and-e-book-fiction,2011-03-01,2.0
3,9780307272119,Knopf Doubleday,A hacker and a journalist investigate the disappearance of a Swedish heiress 40 years earlier; the first volume in the Millennium trilogy.,0.0,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,,combined-print-and-e-book-fiction,2011-03-01,8.0
4,9781565125858,Algonquin,"After his parents die in a car accident, young veterinary student — and an elephant — save a Depression-era circus.",0.0,WATER FOR ELEPHANTS,Sara Gruen,,combined-print-and-e-book-fiction,2011-03-01,5.0
5,9780307272300,Knopf Doubleday,"In the second volume of the Millennium trilogy, a Swedish hacker becomes a murder suspect.",0.0,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,,combined-print-and-e-book-fiction,2011-03-01,7.0
6,9780307593672,Knopf Doubleday,"The third volume of the Millennium trilogy, about a Swedish hacker and a journalist.",0.0,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,,combined-print-and-e-book-fiction,2011-03-01,9.0
7,9781101475690,Penguin Group,The recovery of a lost ancient manuscript in a library at Oxford sets a fantastical underworld stirring.,0.0,A DISCOVERY OF WITCHES,Deborah Harkness,,combined-print-and-e-book-fiction,2011-03-01,4.0
8,9781439177013,Simon & Schuster,"Murdered before he could marry, a Celtic warrior seeks his beloved through eternity.",0.0,DREAMS OF A DARK WARRIOR,Kresley Cole,,combined-print-and-e-book-fiction,2011-03-01,1.0
9,9780307271341,Knopf Doubleday,"Twin brothers, conjoined at birth and then separated, grow up amid the political turmoil of Ethiopia.",0.0,CUTTING FOR STONE,Abraham Verghese,,combined-print-and-e-book-fiction,2011-03-01,1.0
10,9781440697661,Penguin Group,A young white woman and two black maids in 1960s Mississippi.,0.0,THE HELP,Kathryn Stockett,,combined-print-and-e-book-fiction,2011-03-01,10.0
11,9780385534130,Knopf Doubleday,"A criminal wants to save an innocent man on death row, but he must convince the authorities he’s telling the truth.",0.0,THE CONFESSION,John Grisham,,combined-print-and-e-book-fiction,2011-03-01,2.0
12,9780979190919,Penwyck,A victim of a hit-and-run leaves behind a letter that throws her family into turmoil.,0.0,HER LAST LETTER,Nancy C Johnson,,combined-print-and-e-book-fiction,2011-03-01,1.0
13,9781101476543,Penguin Group,Familiar Clancy characters appear as an intelligence group tracks a vicious terrorist called the Emir.,0.0,DEAD OR ALIVE,Tom Clancy with Grant Blackwood,,combined-print-and-e-book-fiction,2011-03-01,1.0
14,9780316129114,"Little, Brown",The entire world of the 5-year-old boy who narrates this novel is the 11-by-11-foot room in which his mother is being held prisoner.,0.0,ROOM,Emma Donoghue,,combined-print-and-e-book-fiction,2011-03-01,1.0
15,9780345512505,Random House,A friendship between a Chinese-American boy and a Japanese-American girl in Seattle during World War II.,0.0,HOTEL ON THE CORNER OF BITTER AND SWEET,Jamie Ford,,combined-print-and-e-book-fiction,2011-03-01,1.0
16,9781426884269,Harlequin,"A woman struggles for years to choose between two men, one honorable and steady, one wild and untethered. And then, one fateful day, the decision is made for her.",0.0,MARRYING DAISY BELLAMY,Susan Wiggs,,combined-print-and-e-book-fiction,2011-03-01,1.0
17,9781400079148,Knopf Doubleday,The Harvard symbologist Robert Langdon among the Masons.,0.0,THE LOST SYMBOL,Dan Brown,,combined-print-and-e-book-fiction,2011-03-01,1.0
18,9780425238691,Penguin Group,"A tale of two worlds and two women delivering the news in 1940: Iris James, a spinster who runs the post office in a coastal Massachusetts town, and Frankie Bard, a reporter in London with Edward R. Murrow.",0.0,THE POSTMISTRESS,Sarah Blake,,combined-print-and-e-book-fiction,2011-03-01,1.0
19,9781416589648,Simon & Schuster,The lives of two women collide: a Nigerian refugee and an English magazine editor to whose home the refugee escapes after fleeing an immigration detention center.,0.0,LITTLE BEE,Chris Cleave,,combined-print-and-e-book-fiction,2011-03-01,1.0
20,9781429994262,St. Martin’s,A terrorist group unleashes a deadly virus in the Capitol on the night of the State of the Union address.,0.0,A HEARTBEAT AWAY,Michael Palmer,,combined-print-and-e-book-fiction,2011-03-01,1.0
1,9781616200817,Algonquin,"After his parents die in a car accident, a young veterinary student — and an elephant — save a Depression-era circus.",0.0,WATER FOR ELEPHANTS,Sara Gruen,,combined-print-and-e-book-fiction,2011-04-01,3.0
2,9780316097369,"Little, Brown","Hays Baker, a top operative for the Agency of Change and a national hero, suddenly finds himself a hunted fugitive who must fight to save humans from extinction.",0.0,TOYS,James Patterson and Neil McMahon,,combined-print-and-e-book-fiction,2011-04-01,3.0
3,9780759514713,"Little, Brown","Routinely doing business from his Lincoln Town Cars, the bottom-feeding attorney Mickey Haller is asked to defend the scion of a wealthy family who might not be guilty of a murderous crime.",0.0,THE LINCOLN LAWYER,Michael Connelly,,combined-print-and-e-book-fiction,2011-04-01,4.0
4,9781439102725,Simon & Schuster,Picoult takes on the issue of gay rights in this novel about a music therapist who desperately wants a child.,0.0,SING YOU HOME,Jodi Picoult,,combined-print-and-e-book-fiction,2011-04-01,3.0
5,9780553908114,Random House,"Detective D. D. Warren must solve the case of a dead husband, a battered wife and a missing child.",0.0,LOVE YOU MORE,Lisa Gardner,,combined-print-and-e-book-fiction,2011-04-01,1.0
6,9780307593672,Knopf Doubleday,"The third volume of the Millennium trilogy, about a Swedish hacker and a journalist.",0.0,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,,combined-print-and-e-book-fiction,2011-04-01,9.0
